Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Arbaaz Mir,ACR,Assassin's Creed,46,normal,uncommon,1,95490,c7187506-4af3-47e9-bad0-4ce8c78ccc10,,false,false,near_mint,en,EUR
Bureau Headmaster,ACR,Assassin's Creed,296,normal,uncommon,1,95377,58766566-6e19-4f74-bfce-5a61429ffaa9,,false,false,near_mint,en,EUR
Layla Hassan,ACR,Assassin's Creed,7,normal,rare,1,95311,2278d97e-791a-4843-a385-65bac79bde7a,,false,false,near_mint,en,EUR
Flowering of the White Tree,LTR,The Lord of the Rings: Tales of Middle-earth,15,normal,rare,1,82925,2203b2cd-48e5-471a-85fe-dc81012e5d61,,false,false,near_mint,en,EUR
Rising of the Day,LTR,The Lord of the Rings: Tales of Middle-earth,145,normal,uncommon,1,83538,d4fbcac6-8ac9-44a8-9d1a-03d0799ac253,,false,false,near_mint,en,EUR
Blacksmith's Talent,BLB,Bloomburrow,125,normal,uncommon,1,96029,4bb318fa-481d-40a7-978e-f01b49101ae0,,false,false,near_mint,en,EUR
Brotherhood Regalia,ACR,Assassin's Creed,71,normal,uncommon,1,95426,8a6439a6-288d-427e-b14b-a99e8ef8c5cd,,false,false,near_mint,en,EUR
Blackblade Reforged,DMC,Dominaria United Commander,178,normal,rare,1,71316,240448cd-c308-49ae-9e4b-0c35adc59fba,,false,false,near_mint,en,EUR
Haunted Cloak,CMM,Commander Masters,389,normal,common,1,84733,abffd0a3-ea7a-43cf-b92d-d9f436bef58e,,false,false,near_mint,en,EUR
Hero's Heirloom,DMU,Dominaria United,231,normal,uncommon,1,71468,5b7c0d2d-7107-4599-8d49-c7c57d21e467,,false,false,near_mint,en,EUR
Hookblade,ACR,Assassin's Creed,6,normal,uncommon,1,95515,e17eca56-f658-410f-b505-8cbc87d4f253,,false,false,near_mint,en,EUR
Hidden Footblade,ACR,Assassin's Creed,34,normal,uncommon,1,95516,e188fe5a-92ac-4c1c-a9a4-2dd5912cc14e,,false,false,near_mint,en,EUR
Cliffhaven Kitesail,ZNR,Zendikar Rising,243,normal,common,1,54809,eebf8f67-49d0-42de-a5cc-ad13d19d2c55,,false,false,near_mint,es,EUR
Armory of Iroas,CMR,Commander Legends,299,normal,common,1,55726,703a03ac-5bb5-4e36-ab9b-a5c007ffc03d,,false,false,near_mint,en,EUR
Prowler's Helm,THS,Theros,219,normal,uncommon,1,15445,c100a22c-bf34-42b7-9339-4733698c0935,,false,false,near_mint,en,EUR
Psychic Paper,WHO,Doctor Who,181,normal,uncommon,1,88019,eae12c61-0125-4810-b0e4-139c27b1b08b,,false,false,near_mint,en,EUR
Hidden Blade,ACR,Assassin's Creed,73,normal,uncommon,1,91730,a07a488f-cb64-4f4c-9c2e-6cdb5d563f13,,false,false,near_mint,en,EUR
Sticky Fingers,SNC,Streets of New Capenna,124,normal,common,1,67696,3678fa3d-d41f-4b7a-b25e-6fc5f78876c7,,false,false,near_mint,en,EUR
Cloudsteel Kirin,NEO,Kamigawa: Neon Dynasty,8,normal,rare,1,66587,a13ddda7-da6e-415e-8886-295514f862d4,,false,false,near_mint,en,EUR
Prophetic Prism,DMC,Dominaria United Commander,189,normal,common,1,71652,a0dcb495-9562-4961-b095-8b844dfdb601,,false,false,near_mint,en,EUR
Patchwork Banner,BLB,Bloomburrow,247,normal,uncommon,1,96097,a8a982c8-bc08-44ba-b3ed-9e4b124615d6,,false,false,near_mint,en,EUR
Voyager Quickwelder,DFT,Aetherdrift,37,normal,common,1,103673,f6dcdc8c-fba1-4ea1-bf93-65072d10f0da,,false,false,near_mint,en,EUR
Spirited Companion,BLC,Bloomburrow Commander,155,normal,common,1,96423,ada3dc9c-2f83-4f52-8776-ef23d45cc4eb,,false,false,near_mint,en,EUR
Mentor of the Meek,INR,Innistrad Remastered,34,normal,uncommon,1,102469,280ca0f4-be07-452a-bbc0-c25570f14008,,false,false,near_mint,en,EUR
Lunarch Veteran // Luminous Phantom,INR,Innistrad Remastered,32,normal,common,1,102520,438e3302-daf9-436b-8b08-24b3f33295f6,,false,false,near_mint,en,EUR
Impassioned Orator,M20,Core Set 2020,306,normal,common,1,45154,696d6c4b-69d7-498b-87d4-0a03b16cc971,,false,false,near_mint,en,EUR
Lifecreed Duo,BLB,Bloomburrow,20,normal,common,1,95968,ca543405-5e12-48a0-9a77-082ac9bcb2f2,,false,false,near_mint,en,EUR
Voldaren Epicure,INR,Innistrad Remastered,182,normal,common,1,102824,e8fe855c-fe94-4de7-a033-9892a9d6ee0e,,false,false,near_mint,en,EUR
Cathar Commando,INR,Innistrad Remastered,15,normal,common,1,102628,7cd21530-ca72-4986-a0f2-142b9f23c413,,false,false,near_mint,en,EUR
Blacksmith's Skill,MH2,Modern Horizons 2,6,normal,common,1,59482,31506792-d0ab-4c13-9ab8-6fa433220dbf,,false,false,near_mint,en,EUR
Valorous Stance,INR,Innistrad Remastered,48,normal,uncommon,1,102403,04762c85-d25d-4120-adec-8681adcf581a,,false,false,near_mint,en,EUR
Banishing Light,BLB,Bloomburrow,1,normal,common,1,96011,25a06f82-ebdb-4dd6-bfe8-958018ce557c,,false,false,near_mint,en,EUR
Return to Dust,WHO,Doctor Who,211,normal,uncommon,1,87859,c516678c-37ce-4958-a149-aff03ef1dfd6,,false,false,near_mint,en,EUR
Abrade,INR,Innistrad Remastered,139,normal,common,1,102860,fee393c7-1868-4d11-93c3-3d143e0c8dd9,,false,false,near_mint,en,EUR
Faithless Looting,INR,Innistrad Remastered,151,normal,common,1,102544,52e47757-0aa9-48b0-8b43-e2483d7eed67,,false,false,near_mint,en,EUR
Thrill of Possibility,DMC,Dominaria United Commander,127,normal,common,1,71625,9752ed44-dc5e-4f73-9422-c1d267b60a3c,,false,false,near_mint,en,EUR
Tormenting Voice,SOI,Shadows over Innistrad,186,normal,common,1,8810,2f5b0a20-2422-465e-b74e-4402b34fb57b,,false,false,near_mint,en,EUR
Defiant Strike,M21,Core Set 2021,15,normal,common,1,50823,5c23869b-c99a-49dd-9e29-fcc0eb63fad1,,false,false,near_mint,en,EUR
Renegade Tactics,CMR,Commander Legends,195,normal,common,1,56116,7dfa0e65-1ce0-4f8e-a78b-2ade2d25e748,,false,false,near_mint,en,EUR
Shock,M21,Core Set 2021,159,normal,common,1,50819,59fa8e8d-bcb8-47bf-b71a-df11c8d0f2c9,,false,false,near_mint,en,EUR
