Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
"Eivor, Battle-Ready",ACR,Assassin's Creed,274,foil,mythic,1,91718,4242961d-87e8-4dd2-bdea-5d765a5cf136,,false,false,near_mint,en,EUR
Blackblade Reforged,DMC,Dominaria United Commander,178,normal,rare,1,71316,240448cd-c308-49ae-9e4b-0c35adc59fba,,false,false,near_mint,en,EUR
Citizen's Crowbar,SNC,Streets of New Capenna,8,normal,uncommon,1,67962,b68896f5-1e13-400a-a327-b6c6f00858b7,,false,false,near_mint,en,EUR
Harvest Hand // Scrounged Scythe,INR,Innistrad Remastered,265,normal,common,1,102596,6f29b655-f70f-4b30-9253-c7944bfee524,,false,false,near_mint,en,EUR
Auxiliary Boosters,EOE,Edge of Eternities,5,normal,common,1,107714,43706295-afd6-442c-8828-8cf978152701,,false,false,near_mint,en,EUR
Armory of Iroas,CMR,Commander Legends,299,normal,common,1,55726,703a03ac-5bb5-4e36-ab9b-a5c007ffc03d,,false,false,near_mint,en,EUR
Glimmerlight,DSK,Duskmourn: House of Horror,249,normal,common,1,98777,1071691c-5c65-42d4-ac96-d302185ca678,,false,false,near_mint,en,EUR
Monk's Fist,FIN,Final Fantasy,265,normal,common,1,106601,995033f0-873d-4e46-b0c9-98ec8ef270ff,,false,false,near_mint,en,EUR
Headsplitter,ACR,Assassin's Creed,289,normal,common,1,95379,59fcbf2a-46d5-4371-b4eb-a8dbebe18dcc,,false,false,near_mint,en,EUR
Ancestral Blade,CMM,Commander Masters,12,normal,common,1,84153,24705dee-027c-42a2-8505-66c0a34a4a58,,false,false,near_mint,en,EUR
Dragonwing Glider,ONE,Phyrexia: All Will Be One,128,normal,rare,1,78547,5456b036-231e-4a64-b060-0709f5254664,,false,false,near_mint,es,EUR
Brotherhood Regalia,ACR,Assassin's Creed,71,normal,uncommon,1,95426,8a6439a6-288d-427e-b14b-a99e8ef8c5cd,,false,false,near_mint,en,EUR
Haunted Cloak,CMM,Commander Masters,389,normal,common,1,84733,abffd0a3-ea7a-43cf-b92d-d9f436bef58e,,false,false,near_mint,en,EUR
Cloudsteel Kirin,NEO,Kamigawa: Neon Dynasty,8,normal,rare,1,66587,a13ddda7-da6e-415e-8886-295514f862d4,,false,false,near_mint,en,EUR
Short Sword,M21,Core Set 2021,236,normal,common,1,50903,973c166e-3e93-4ed5-b4c5-84dc158a8e4f,,false,false,near_mint,en,EUR
Ninja's Kunai,NEO,Kamigawa: Neon Dynasty,252,normal,common,1,66901,af6ae567-c77a-416a-b609-4df3d0dd2e18,,false,false,near_mint,en,EUR
Bloodthirsty Blade,MKC,Murders at Karlov Manor Commander,225,normal,uncommon,1,90505,bcdf583e-25f8-4227-96e9-e70ec8a36b09,,false,false,near_mint,en,EUR
Pirate's Cutlass,FDN,Foundations,563,normal,common,1,101209,d9d20aef-d35b-4353-a241-e6cfa9730975,,false,false,near_mint,en,EUR
Cliffhaven Kitesail,ZNR,Zendikar Rising,243,normal,common,1,54809,eebf8f67-49d0-42de-a5cc-ad13d19d2c55,,false,false,near_mint,es,EUR
Hero's Heirloom,DMU,Dominaria United,231,normal,uncommon,1,71468,5b7c0d2d-7107-4599-8d49-c7c57d21e467,,false,false,near_mint,en,EUR
Blacksmith's Talent,BLB,Bloomburrow,125,normal,uncommon,1,96029,4bb318fa-481d-40a7-978e-f01b49101ae0,,false,false,near_mint,en,EUR
Benevolent Blessing,CMR,Commander Legends,13,normal,common,1,56002,0d5c2401-da2c-46f9-b850-f37edcbb85cd,,false,false,near_mint,en,EUR
Resolute Strike,ZNR,Zendikar Rising,35,normal,common,1,54615,78b82476-4320-4719-9785-af8d68503234,,false,false,near_mint,en,EUR
Militant Inquisitor,SOI,Shadows over Innistrad,26,normal,common,1,8970,68d99f1f-80d6-4b5e-aeae-83fb8ae62cdc,,false,false,near_mint,en,EUR
Dan Lewis,WHO,Doctor Who,78,normal,rare,1,87145,24b5c60e-f2f5-40d7-8713-edc3ecedb5e0,,false,false,near_mint,en,EUR
Battlefield Improvisation,ACR,Assassin's Creed,276,normal,common,1,95503,d2cf2cd1-f7b3-4a23-a23a-6eb0af5451cf,,false,false,near_mint,en,EUR
Charming Scoundrel,WOE,Wilds of Eldraine,124,normal,rare,1,85717,c8090bcf-e17a-4110-a518-77ccd045b18f,,false,false,near_mint,es,EUR
Filigree Familiar,CMR,Commander Legends,308,normal,common,1,55767,875df3ef-fab4-455f-bfdb-8f6361b27bf6,,false,false,near_mint,en,EUR
Hangar Scrounger,MOM,March of the Machine,142,normal,common,1,81443,c2551b01-4d88-47f3-b54d-96ec03e093f8,,false,false,near_mint,en,EUR
