Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
"Neriv, Crackling Vanguard",TDC,Tarkir: Dragonstorm Commander,6,normal,mythic,1,104340,ac552ea3-f521-4c42-a846-21a73364e0ca,,false,false,near_mint,en,EUR
Charming Scoundrel,WOE,Wilds of Eldraine,124,normal,rare,1,85717,c8090bcf-e17a-4110-a518-77ccd045b18f,,false,false,near_mint,es,EUR
Blood Funnel,RAV,Ravnica: City of Guilds,77,normal,rare,1,27933,5f4e8084-4b9e-48e0-bf59-d45543e176f8,,false,false,near_mint,es,EUR
Rakdos Locket,C19,Commander 2019,220,normal,common,1,45714,ae74a4a0-b95b-4ddd-80df-cbec1c469025,,false,false,near_mint,en,EUR
Orzhov Locket,MOC,March of the Machine Commander,368,normal,common,1,81674,52f5b969-2f5a-4f9d-9301-2cbfbc7d76e0,,false,false,near_mint,en,EUR
Unstable Obelisk,CMM,Commander Masters,416,normal,common,1,84634,94eba26e-7c9e-46f3-ad13-aa684f3365cb,,false,false,near_mint,en,EUR
Prophetic Prism,DMC,Dominaria United Commander,189,normal,common,1,71652,a0dcb495-9562-4961-b095-8b844dfdb601,,false,false,near_mint,en,EUR
Magnifying Glass,MKM,Murders at Karlov Manor,255,normal,common,1,91192,c606a71f-8fb0-486b-955f-727ebf436946,,false,false,near_mint,en,EUR
Letter of Acceptance,CMM,Commander Masters,397,normal,common,1,84744,ae094ace-1760-4bdd-a513-04616fb0deeb,,false,false,near_mint,en,EUR
Persuasive Interrogators,MKM,Murders at Karlov Manor,345,normal,uncommon,1,90941,6c134956-ba18-415e-b101-c1254415ea04,,false,false,near_mint,en,EUR
Sister Repentia,40K,"Warhammer 40,000 Commander",142,normal,rare,1,72423,743c5111-9e94-4f08-9c01-92411e8a2317,,false,false,near_mint,es,EUR
Blade Juggler,CLU,Ravnica: Clue Edition,106,normal,common,1,90824,42665f2d-0815-44d9-a5a9-c7ec4226bcf0,,false,false,near_mint,en,EUR
Escarpment Fortress,ACR,Assassin's Creed,278,normal,rare,1,95482,c11c9e60-fc14-48fe-bca9-b74f82301835,,false,false,near_mint,en,EUR
Macetail Hystrodon,DMR,Dominaria Remastered,130,normal,common,1,78118,c750f7d7-25b8-433f-b3a8-0d842b99276f,,false,false,near_mint,en,EUR
Falkenrath Celebrants,VOW,Innistrad: Crimson Vow,156,normal,common,1,64200,4c3c5778-4760-4a8c-8d8d-693e29a0a74b,,false,false,near_mint,en,EUR
Oblivion's Hunger,ZNR,Zendikar Rising,119,normal,common,1,54832,faf65512-8228-48f4-ba7b-d861b66d28c9,,false,false,near_mint,es,EUR
Meteor Golem,FDN,Foundations,256,normal,uncommon,1,101167,d291ea1e-36bc-46b3-b3ae-084fa0ba69eb,,false,false,near_mint,en,EUR
Tyrant of Kher Ridges,BRO,The Brothers' War,154,normal,rare,1,75546,72a271b1-b757-4373-8e6d-e9698ae96bed,,false,false,near_mint,es,EUR
Fear of Abduction,DSK,Duskmourn: House of Horror,9,normal,uncommon,1,98949,fc9374be-5e4b-4c23-8b6e-94c03d4f5ef1,,false,false,near_mint,en,EUR
