Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
The Twelfth Doctor,WHO,Doctor Who,164,normal,rare,1,87142,2400d681-05ef-43b1-b720-c15ca4226c27,,false,false,near_mint,en,EUR
Kessig Flamebreather,VOW,Innistrad: Crimson Vow,164,normal,common,1,64150,303ad78a-b02a-44dc-afe6-7f95781a5062,,false,false,near_mint,en,EUR
"Zada, Hedron Grinder",MUL,Multiverse Legends,25,normal,uncommon,1,81147,8994524c-b9ff-4ca0-9ff0-2d074911bfe6,,false,false,near_mint,en,EUR
Kindlespark Duo,BLB,Bloomburrow,142,normal,common,1,96096,a839fba3-1b66-4dd1-bf43-9b015b44fc81,,false,false,near_mint,en,EUR
"Surtr, Fiery Jötun",ACR,Assassin's Creed,293,normal,rare,1,95478,be38985c-f7a9-4885-9035-09390b4b754a,,false,false,near_mint,en,EUR
Saruman the White,LTR,The Lord of the Rings: Tales of Middle-earth,67,normal,uncommon,1,82903,1bfccbab-29fa-4e92-8919-6cd4815fb655,,false,false,near_mint,en,EUR
Voracious Bibliophile,TDC,Tarkir: Dragonstorm Commander,23,normal,rare,1,104746,77d2c30b-3130-4d9d-bd3d-484fe6dc306d,,false,false,near_mint,en,EUR
"Kraum, Violent Cacophony",OTJ,Outlaws of Thunder Junction,214,normal,uncommon,1,93270,958a3e6b-7e20-40ea-8b2c-7c728934b5e5,,false,false,near_mint,en,EUR
Trail of Evidence,SOI,Shadows over Innistrad,93,normal,uncommon,1,8903,4b150797-ee8d-42f8-adcb-2f4b1783c074,,false,false,near_mint,en,EUR
Lightshell Duo,FDN,Foundations,157,normal,common,1,101063,bb75315c-ea8f-4eb0-899e-c73ef75fc396,,false,false,near_mint,en,EUR
Runescale Stormbrood // Chilling Screech,TDM,Tarkir: Dragonstorm,316,normal,uncommon,1,104733,72e8f916-5a01-4918-bcb5-7fd69fe32785,,false,false,near_mint,en,EUR
Akroan Crusader,UMA,Ultimate Masters,121,normal,common,1,43388,73d295ac-3c83-47db-a324-aa4907bcefdd,,false,false,near_mint,en,EUR
Leyline of Lightning,WOT,Wilds of Eldraine: Enchanting Tales,45,normal,rare,1,85739,d1670149-b64b-44a8-8858-59637679065c,,false,false,near_mint,es,EUR
Syncopate,INR,Innistrad Remastered,89,normal,common,1,102690,9aebd769-7ae3-4dac-81ea-458061762cce,,false,false,near_mint,en,EUR
Disdainful Stroke,GRN,Guilds of Ravnica,37,normal,common,1,446,0193dfa3-8409-44be-b4be-6c3cad42d4a4,,false,false,near_mint,en,EUR
Dazzling Denial,BLB,Bloomburrow,45,normal,common,1,96369,8739f1ac-2e57-4b52-a7ff-cc8df5936aad,,false,false,near_mint,en,EUR
